Institution,School Name,Main,Classification,Longitude,Latitude,Physical Address,Oral Pills (contraception),Injectables,IUDs  (contraception),Implants (contraception),Female Sterilization (contraception),Male Sterilization (contraception),Male Medical Circumcision (MMC),TB,Maternal Health,Mental Health,Child Health,Oral health services,Rehabilitation Services,Minor Ailments,HIV Testing,HIV Treatment (ART),Oral PrEP,Termination of Pregnancy - 1st Trimester,Termination of Pregnancy - 2nd Trimester,Sexuality Transmitted Infections Screenings
King Sabata Dalindyebo TVET College,King Sabata Dalindyebo TVET College - Mapuzi Campus,,Technical and vocational education and training,29.15086,-31.98197,Coffee Bay Road Mqanduli Private Bag X579 5080,,,,,,,,,,,,,,,,,,,,
Ingwe TVET College,Ingwe TVET College - Ngqungqushe Campus,,Technical and vocational education and training,29.583295,-31.375849,PRIVATE BAG X1011 MAGWA ROAD LUSIKISIKI 5605,,,,,,,,,,,,,,,,,,,,
Ingwe TVET College,Ingwe TVET College - Siteto Campus,,Technical and vocational education and training,29.37453,-31.58879,PRIVATE BAG X600 BIZANA  5605,,,,,,,,,,,,,,,,,,,,
Ikhala TVET College,Ikhala TVET College - Sterkspruit Campus,,Technical and vocational education and training,27.397913,-30.521666,"295 EMFUNDISWENI STREET, ZWELITSHA EMFUNDISWENI STREET, ZWELITSHA STERKSPRUIT 9762",,,,,,,,,,,,,,,,,,,,
King Hintsa TVET College,King Hintsa TVET College - Teko Campus,,Technical and vocational education and training,28.14605,-32.33213,PRIVATE BAG X3018 BUTTERWORTH  4960,,,,,,,,,,,,,,,,,,,,
King Sabata Dalindyebo TVET College,King Sabata Dalindyebo TVET College - Mthatha Campus,,Technical and vocational education and training,28.7789,-31.591619,Private Bag X5011 Mthatha  5099,,,,,,,,,,,,,,,,,,,,
Lovedale TVET College,Lovedale TVET College - Zwelitsha Campus,,Technical and vocational education and training,27.38399,-32.85989,Gert Goosen Drive Drive King Williams Town Drive King Williams Town 5600,,,,,,,,,,,,,,,,,,,,
King Sabata Dalindyebo TVET College,King Sabata Dalindyebo TVET College - Libode Campus,,Technical and vocational education and training,29.51476,-31.59559,R61 Port St Johns Road Libode  5160,,,,,,,,,,,,,,,,,,,,
King Sabata Dalindyebo TVET College,King Sabata Dalindyebo TVET College - Ntabozuko Campus,,Technical and vocational education and training,28.68419,-31.9682,C/O Madwaleni Gusi A/A Elliotdale  5070,,,,,,,,,,,,,,,,,,,,
King Sabata Dalindyebo TVET College,King Sabata Dalindyebo TVET College - Mngazi Campus,,Technical and vocational education and training,29.01793,-31.54243,Mgwenyana A/A Libode  5160,,,,,,,,,,,,,,,,,,,,
Ingwe TVET College,Ingwe TVET College - Maluti Campus,,Technical and vocational education and training,28.81014,-30.34013,PO BOX 619 MATATIELE  5605,,,,,,,,,,,,,,,,,,,,
Eastcape Midlands TVET College,Eastcape Midlands TVET College - Park  Avenue Campus,,Technical and vocational education and training,25.39919,-33.76222,4 BARKLY STREET UITENHAGE UITENHAGE 6230,,,,,,,,,,,,,,,,,,,,
Ikhala TVET College,Ikhala TVET College - Nonesi Campus,,Technical and vocational education and training,27.23618,-31.70144,GQEBENYA LOCATION GQEBENYA LOCATION LADY FRERE 5410,,,,,,,,,,,,,,,,,,,,
Buffalo City TVET College,Buffalo City TVET College - St Marks Campus,,Technical and vocational education and training,27.90267,-32.99841,ST MARKS ROAD EAST LONDON  5200,,,,,,,,,,,,,,,,,,,,
Eastcape Midlands TVET College,Eastcape Midlands TVET College - Charles Goodyear Campus,,Technical and vocational education and training,25.39564,-33.75191,CNR MELBROOKS & WATT STREET UITENHAGE UITENHAGE 6229,,,,,,,,,,,,,,,,,,,,
Ikhala TVET College,Ikhala TVET College - Aliwal North Campus,,Technical and vocational education and training,26.70889,-30.69569,248 SOMERSET STREET SOMERSET STREET ALIWAL NORTH 9750,,,,,,,,,,,,,,,,,,,,
Port Elizabeth TVET College,Port Elizabeth TVET College - Bethelsdorp Campus,,Technical and vocational education and training,25.5228903,-33.8831663,Rensburg Street West End Port Elizabeth 6059,,,,,,,,,,,,,,,,,,,,
Buffalo City TVET College,Buffalo City TVET College - East London Campus,,Technical and vocational education and training,27.9042779,-33.013671,East London Building East London  5200,,,,,,,,,,,,,,,,,,,,
Eastcape Midlands TVET College,Eastcape Midlands TVET College - Grahamstown Campus,,Technical and vocational education and training,26.5195908,-33.3038864,16 ST AIDANS AVENUE GRAHAMSTOWN GRAHAMSTOWN 6140,,,,,,,,,,,,,,,,,,,,
Ikhala TVET College,Ikhala TVET College - Queenstown Campus,,Technical and vocational education and training,26.8706862,-31.8937538,440 CNR ROBINSON & ZEILER STREET CNR ROBINSON & ZEILER STREET QUEENSTOWN 5319,,,,,,,,,,,,,,,,,,,,
Port Elizabeth TVET College,Port Elizabeth TVET College - Russell Road Campus,,Technical and vocational education and training,25.61021,-33.9614199,139 Russell Rd Central Port Elizabeth 6001,,,,,,,,,,,,,,,,,,,,
Eastcape Midlands TVET College,Eastcape Midlands TVET College - High Street Campus,,Technical and vocational education and training,25.4012916,-33.758713,4 HIGH STREET UITENHAGE UITENHAGE 6229,,,,,,,,,,,,,,,,,,,,
King Sabata Dalindyebo TVET College,King Sabata Dalindyebo TVET College - Ngcobo Campus,,Technical and vocational education and training,28.771396,-31.5809846,Queenstown Road Idutywa Junction Ngcobo 5050,,,,,,,,,,,,,,,,,,,,
King Hintsa TVET College,King Hintsa TVET College - Centane Campus,,Technical and vocational education and training,28.1446262,-32.3323496,PRIVATE BAG X3018 BUTTERWORTH  4960,,,,,,,,,,,,,,,,,,,,
Ingwe TVET College,Ingwe TVET College - Mt Frere Campus,,Technical and vocational education and training,28.9819731,-30.8918332,PRIVATE BAG X1247 MOUNT FRERE  5605,,,,,,,,,,,,,,,,,,,,
